NAME,25th,75th,Total
Florida A&M University -- Florida State University,1200,1350,2000
St. Lawrence University,1190,1355,2000
DigiPen Institute of Technology,1150,1395,2000
Earlham College,1160,1380,2000
Illinois Institute of Technology,1220,1400,2000
Chapman University,1190,1370,2000
Clarkson University,1160,1350,2000
Drake University,1140,1360,2000
Seattle University,1130,1320,2000
University of Missouri,1090,1290,2000
Gallaudet University,792,1078,2000
Wofford College,1180,1350,2000
Muhlenberg College,1170,1360,2000
Wheaton College (MA),1180,1350,2000
South Dakota School of Mines and Technology,1160,1363,2000
United States Naval Academy,1150,1370,2000
Calvin University,1150,1370,2000
United States Merchant Marine Academy,1190,1330,2000
College of New Jersey,1160,1350,2000
Drexel University,1170,1380,2000
The New School,1150,1360,2000
University of St. Thomas (MN),1130,1380,2000
University of Nebraska--Lincoln,1130,1360,2000
University of Oklahoma,1140,1350,2000
University of the Pacific,1120,1350,2000
Seton Hall University,1150,1310,2000
Simmons University,1130,1300,2000
University of Dayton,1110,1310,2000
University of Kentucky,1080,1300,2000
College of Wooster,1130,1370,2000
Butler University,1170,1330,2000
Augsburg University,1173,1325,2000
College of the Ozarks,1193,1300,2000
United States Military Academy,1140,1350,2000
Hobart and William Smith Colleges,1150,1340,2000
Beloit College,1120,1360,2000
Westmont College,1110,1370,2000
CUNY--Hunter College,1150,1330,2000
Cedarville University,1130,1350,2000
John Brown University,1110,1365,2000
Covenant College,1120,1350,2000
University of Texas at Dallas,1220,1440,2000
University of Tulsa,1180,1410,2000
University of Cincinnati,1160,1370,2000
George Mason University,1120,1320,2000
Duquesne University,1130,1290,2000
San Diego State University,1110,1310,2000
University of New Hampshire,1090,1270,2000
Samford University,1072,1270,2000
University of Alabama,1060,1280,2000
University of Minnesota--Duluth,1118,1343,2000
DePauw University,1120,1340,2000
Allegheny College,1120,1340,2000
Ursinus College,1140,1320,2000
Austin College,1130,1330,2000
Southwestern University,1130,1330,2000
University of Portland,1140,1320,2000
University of Dallas,1120,1340,2000
School of the Art Institute of Chicago,1120,1340,2000
Concordia College--Moorhead,1080,1368,2000
Illinois Wesleyan University,1120,1325,2000
Hope College,1110,1330,2000
Point Loma Nazarene University,1140,1300,2000
Viterbo University,1040,1400,2000
Albany College of Pharmacy and Health Sciences,1130,1310,2000
Truman State University,1080,1358,2000
Michigan Technological University,1170,1360,2000
Oregon State University,1080,1310,2000
Louisiana State University--Baton Rouge,1070,1290,2000
Colorado State University,1070,1280,2000
Quinnipiac University,1090,1260,2000
University of Alabama at Birmingham,980,1240,2000
Rutgers University--Camden,1000,1180,2000
Wabash College,1100,1330,2000
Saint Anselm College,1120,1310,2000
University of Minnesota Morris,1080,1350,2000
Florida Southern College,1130,1300,2000
The King's College,1120,1310,2000
University of the Sciences,1120,1310,2000
Warren Wilson College,1140,1285,2000
St. Louis College of Pharmacy,1108,1313,2000
Berry College,1110,1310,2000
Dordt University,1060,1360,2000
SUNY--Geneseo,1120,1300,2000
Virginia Military Institute,1100,1310,2000
Transylvania University,1100,1310,2000
James Madison University,1120,1290,2000
Saint Joseph's University,1120,1290,2000
LeTourneau University,1090,1320,2000
University of Maryland--Baltimore County,1190,1360,2000
Mercer University,1180,1340,2000
University of Central Florida,1160,1340,2000
Hofstra University,1150,1330,2000
Belmont University,1120,1300,2000
University of Arkansas,1100,1290,2000
University at Albany--SUNY,1100,1260,2000
Valparaiso University,1070,1270,2000
Virginia Commonwealth University,1070,1260,2000
University of Mississippi,1050,1270,2000
Cornell College,1080,1320,2000
Oglethorpe University,1110,1290,2000
University of Scranton,1120,1280,2000
VanderCook College of Music,1130,1270,2000
Otterbein University,1105,1285,2000
Christopher Newport University,1110,1280,2000
Augustana University,1060,1330,2000
Messiah University,1080,1310,2000
Georgia College & State University,1110,1280,2000
School of Visual Arts,1060,1323,2000
John Carroll University,1090,1290,2000
Taylor University,1080,1300,2000
Ohio Northern University,1090,1290,2000
University of Evansville,1080,1300,2000
Whitworth University,1090,1290,2000
Bradley University,1090,1290,2000
Milligan University,1070,1310,2000
Emmanuel College (MA),1100,1280,2000
Coe College,1078,1300,2000
Adelphi University,1080,1270,2000
St. John's University (NY),1070,1270,2000
University of Rhode Island,1070,1240,2000
